feature,importance
best_finish,0.32355565
avg_points,0.19448747
avg_finish,0.04406766
position_gain_norm,0.033319823
form_score,0.032046158
tyre_mgmt,0.030893723
override_adjusted,0.02913539
avg_grid,0.028236248
chassis_score,0.025173124
overtaking_opp,0.024088964
dnf_rate,0.024059528
aero_track_score,0.023552733
straight_line_dom,0.023220355
is_works_team,0.022827739
mechanical_grip,0.022733198
driver_skill,0.021363787
x_mode_weight,0.018893683
z_mode_weight,0.017326174
mguk_advantage,0.017263519
mguk_recover,0.016945222
mguk_deploy,0.01674588
ice_power,0.01006385
