season,round,driver,driver_id,quali_position,best_quali_time
2023,1,Max Verstappen,max_verstappen,1,1:29.708
2023,1,Sergio Pérez,perez,2,1:29.846
2023,1,Charles Leclerc,leclerc,3,1:30.000
2023,1,Carlos Sainz,sainz,4,1:30.154
2023,1,Fernando Alonso,alonso,5,1:30.336
2023,1,George Russell,russell,6,1:30.340
2023,1,Lewis Hamilton,hamilton,7,1:30.384
2023,1,Lance Stroll,stroll,8,1:30.836
2023,1,Esteban Ocon,ocon,9,1:30.984
2023,1,Nico Hülkenberg,hulkenberg,10,1:30.809
2023,1,Lando Norris,norris,11,1:31.381
2023,1,Valtteri Bottas,bottas,12,1:31.443
2023,1,Guanyu Zhou,zhou,13,1:31.473
2023,1,Yuki Tsunoda,tsunoda,14,1:32.510
2023,1,Alexander Albon,albon,15,1:31.461
2023,1,Logan Sargeant,sargeant,16,1:31.652
2023,1,Kevin Magnussen,kevin_magnussen,17,1:31.892
2023,1,Oscar Piastri,piastri,18,1:32.101
2023,1,Nyck de Vries,de_vries,19,1:32.121
2023,1,Pierre Gasly,gasly,20,1:32.181
2023,2,Sergio Pérez,perez,1,1:28.265
2023,2,Charles Leclerc,leclerc,2,1:28.420
2023,2,Fernando Alonso,alonso,3,1:28.730
2023,2,George Russell,russell,4,1:28.857
2023,2,Carlos Sainz,sainz,5,1:28.931
2023,2,Lance Stroll,stroll,6,1:28.945
2023,2,Esteban Ocon,ocon,7,1:29.078
2023,2,Lewis Hamilton,hamilton,8,1:29.223
2023,2,Oscar Piastri,piastri,9,1:29.243
2023,2,Pierre Gasly,gasly,10,1:29.357
2023,2,Nico Hülkenberg,hulkenberg,11,1:29.451
2023,2,Guanyu Zhou,zhou,12,1:29.461
2023,2,Kevin Magnussen,kevin_magnussen,13,1:29.634
2023,2,Valtteri Bottas,bottas,14,1:29.668
2023,2,Max Verstappen,max_verstappen,15,1:49.953
2023,2,Yuki Tsunoda,tsunoda,16,1:29.939
2023,2,Alexander Albon,albon,17,1:29.994
2023,2,Nyck de Vries,de_vries,18,1:30.244
2023,2,Lando Norris,norris,19,1:30.447
2023,2,Logan Sargeant,sargeant,20,2:08.510
2023,3,Max Verstappen,max_verstappen,1,1:16.732
2023,3,George Russell,russell,2,1:16.968
2023,3,Lewis Hamilton,hamilton,3,1:17.104
2023,3,Fernando Alonso,alonso,4,1:17.139
2023,3,Carlos Sainz,sainz,5,1:17.270
2023,3,Lance Stroll,stroll,6,1:17.308
2023,3,Charles Leclerc,leclerc,7,1:17.369
2023,3,Alexander Albon,albon,8,1:17.609
2023,3,Pierre Gasly,gasly,9,1:17.675
2023,3,Nico Hülkenberg,hulkenberg,10,1:17.735
2023,3,Esteban Ocon,ocon,11,1:17.768
2023,3,Yuki Tsunoda,tsunoda,12,1:18.099
2023,3,Lando Norris,norris,13,1:18.119
2023,3,Kevin Magnussen,kevin_magnussen,14,1:18.129
2023,3,Nyck de Vries,de_vries,15,1:18.335
2023,3,Oscar Piastri,piastri,16,1:18.517
2023,3,Guanyu Zhou,zhou,17,1:18.540
2023,3,Logan Sargeant,sargeant,18,1:18.557
2023,3,Valtteri Bottas,bottas,19,1:18.714
2023,3,Sergio Pérez,perez,20,
2023,4,Charles Leclerc,leclerc,1,1:40.203
2023,4,Max Verstappen,max_verstappen,2,1:40.391
2023,4,Sergio Pérez,perez,3,1:40.495
2023,4,Carlos Sainz,sainz,4,1:41.016
2023,4,Lewis Hamilton,hamilton,5,1:41.177
2023,4,Fernando Alonso,alonso,6,1:41.253
2023,4,Lando Norris,norris,7,1:41.281
2023,4,Yuki Tsunoda,tsunoda,8,1:41.581
2023,4,Lance Stroll,stroll,9,1:41.611
2023,4,Oscar Piastri,piastri,10,1:41.611
2023,4,George Russell,russell,11,1:41.654
2023,4,Esteban Ocon,ocon,12,1:41.798
2023,4,Alexander Albon,albon,13,1:41.818
2023,4,Valtteri Bottas,bottas,14,1:42.259
2023,4,Logan Sargeant,sargeant,15,1:42.395
2023,4,Guanyu Zhou,zhou,16,1:42.642
2023,4,Nico Hülkenberg,hulkenberg,17,1:42.755
2023,4,Kevin Magnussen,kevin_magnussen,18,1:43.417
2023,4,Pierre Gasly,gasly,19,1:44.853
2023,4,Nyck de Vries,de_vries,20,1:55.282
2023,5,Sergio Pérez,perez,1,1:26.841
2023,5,Fernando Alonso,alonso,2,1:27.202
2023,5,Carlos Sainz,sainz,3,1:27.349
2023,5,Kevin Magnussen,kevin_magnussen,4,1:27.767
2023,5,Pierre Gasly,gasly,5,1:27.786
2023,5,George Russell,russell,6,1:27.804
2023,5,Charles Leclerc,leclerc,7,1:27.861
2023,5,Esteban Ocon,ocon,8,1:27.935
2023,5,Max Verstappen,max_verstappen,9,1:26.814
2023,5,Valtteri Bottas,bottas,10,1:27.564
2023,5,Alexander Albon,albon,11,1:27.795
2023,5,Nico Hülkenberg,hulkenberg,12,1:27.903
2023,5,Lewis Hamilton,hamilton,13,1:27.975
2023,5,Guanyu Zhou,zhou,14,1:28.091
2023,5,Nyck de Vries,de_vries,15,1:28.395
2023,5,Lando Norris,norris,16,1:28.394
2023,5,Yuki Tsunoda,tsunoda,17,1:28.429
2023,5,Lance Stroll,stroll,18,1:28.476
2023,5,Oscar Piastri,piastri,19,1:28.484
2023,5,Logan Sargeant,sargeant,20,1:28.577
2024,1,Max Verstappen,max_verstappen,1,1:29.179
2024,1,Charles Leclerc,leclerc,2,1:29.407
2024,1,George Russell,russell,3,1:29.485
2024,1,Carlos Sainz,sainz,4,1:29.507
2024,1,Sergio Pérez,perez,5,1:29.537
2024,1,Fernando Alonso,alonso,6,1:29.542
2024,1,Lando Norris,norris,7,1:29.614
2024,1,Oscar Piastri,piastri,8,1:29.683
2024,1,Lewis Hamilton,hamilton,9,1:29.710
2024,1,Nico Hülkenberg,hulkenberg,10,1:30.502
2024,1,Yuki Tsunoda,tsunoda,11,1:30.129
2024,1,Lance Stroll,stroll,12,1:30.200
2024,1,Alexander Albon,albon,13,1:30.221
2024,1,Daniel Ricciardo,ricciardo,14,1:30.278
2024,1,Kevin Magnussen,kevin_magnussen,15,1:30.529
2024,1,Valtteri Bottas,bottas,16,1:30.756
2024,1,Guanyu Zhou,zhou,17,1:30.757
2024,1,Logan Sargeant,sargeant,18,1:30.770
2024,1,Esteban Ocon,ocon,19,1:30.793
2024,1,Pierre Gasly,gasly,20,1:30.948
2024,2,Max Verstappen,max_verstappen,1,1:27.472
2024,2,Charles Leclerc,leclerc,2,1:27.791
2024,2,Sergio Pérez,perez,3,1:27.807
2024,2,Fernando Alonso,alonso,4,1:27.846
2024,2,Oscar Piastri,piastri,5,1:28.089
2024,2,Lando Norris,norris,6,1:28.132
2024,2,George Russell,russell,7,1:28.316
2024,2,Lewis Hamilton,hamilton,8,1:28.460
2024,2,Yuki Tsunoda,tsunoda,9,1:28.547
2024,2,Lance Stroll,stroll,10,1:28.572
2024,2,Oliver Bearman,bearman,11,1:28.642
2024,2,Alexander Albon,albon,12,1:28.980
2024,2,Kevin Magnussen,kevin_magnussen,13,1:29.020
2024,2,Daniel Ricciardo,ricciardo,14,1:29.025
2024,2,Nico Hülkenberg,hulkenberg,15,1:29.055
2024,2,Valtteri Bottas,bottas,16,1:29.179
2024,2,Esteban Ocon,ocon,17,1:29.475
2024,2,Pierre Gasly,gasly,18,1:29.479
2024,2,Logan Sargeant,sargeant,19,1:29.526
2024,2,Guanyu Zhou,zhou,20,
2024,3,Max Verstappen,max_verstappen,1,1:15.915
2024,3,Carlos Sainz,sainz,2,1:16.185
2024,3,Sergio Pérez,perez,3,1:16.274
2024,3,Lando Norris,norris,4,1:16.315
2024,3,Charles Leclerc,leclerc,5,1:16.435
2024,3,Oscar Piastri,piastri,6,1:16.572
2024,3,George Russell,russell,7,1:16.724
2024,3,Yuki Tsunoda,tsunoda,8,1:16.788
2024,3,Lance Stroll,stroll,9,1:17.072
2024,3,Fernando Alonso,alonso,10,1:17.552
