season,driver,driver_id,championship_position,championship_points,championship_wins
2023,Max Verstappen,max_verstappen,1,575.0,19
2023,Sergio Pérez,perez,2,285.0,2
2023,Lewis Hamilton,hamilton,3,234.0,0
2023,Fernando Alonso,alonso,4,206.0,0
2023,Charles Leclerc,leclerc,5,206.0,0
2023,Lando Norris,norris,6,205.0,0
2023,Carlos Sainz,sainz,7,200.0,1
2023,George Russell,russell,8,175.0,0
2023,Oscar Piastri,piastri,9,97.0,0
2023,Lance Stroll,stroll,10,74.0,0
2023,Pierre Gasly,gasly,11,62.0,0
2023,Esteban Ocon,ocon,12,58.0,0
2023,Alexander Albon,albon,13,27.0,0
2023,Yuki Tsunoda,tsunoda,14,17.0,0
2023,Valtteri Bottas,bottas,15,10.0,0
2023,Nico Hülkenberg,hulkenberg,16,9.0,0
2023,Daniel Ricciardo,ricciardo,17,6.0,0
2023,Guanyu Zhou,zhou,18,6.0,0
2023,Kevin Magnussen,kevin_magnussen,19,3.0,0
2023,Liam Lawson,lawson,20,2.0,0
2023,Logan Sargeant,sargeant,21,1.0,0
2023,Nyck de Vries,de_vries,22,0.0,0
2024,Max Verstappen,max_verstappen,1,437.0,9
2024,Lando Norris,norris,2,374.0,4
2024,Charles Leclerc,leclerc,3,356.0,3
2024,Oscar Piastri,piastri,4,292.0,2
2024,Carlos Sainz,sainz,5,290.0,2
2024,George Russell,russell,6,245.0,2
2024,Lewis Hamilton,hamilton,7,223.0,2
2024,Sergio Pérez,perez,8,152.0,0
2024,Fernando Alonso,alonso,9,70.0,0
2024,Pierre Gasly,gasly,10,42.0,0
2024,Nico Hülkenberg,hulkenberg,11,41.0,0
2024,Yuki Tsunoda,tsunoda,12,30.0,0
2024,Lance Stroll,stroll,13,24.0,0
2024,Esteban Ocon,ocon,14,23.0,0
2024,Kevin Magnussen,kevin_magnussen,15,16.0,0
2024,Alexander Albon,albon,16,12.0,0
2024,Daniel Ricciardo,ricciardo,17,12.0,0
2024,Oliver Bearman,bearman,18,7.0,0
2024,Franco Colapinto,colapinto,19,5.0,0
2024,Guanyu Zhou,zhou,20,4.0,0
2024,Liam Lawson,lawson,21,4.0,0
2024,Valtteri Bottas,bottas,22,0.0,0
2024,Logan Sargeant,sargeant,23,0.0,0
2024,Jack Doohan,doohan,24,0.0,0
2025,Lando Norris,norris,1,423.0,7
2025,Max Verstappen,max_verstappen,2,421.0,8
2025,Oscar Piastri,piastri,3,410.0,7
2025,George Russell,russell,4,319.0,2
2025,Charles Leclerc,leclerc,5,242.0,0
2025,Lewis Hamilton,hamilton,6,156.0,0
2025,Andrea Kimi Antonelli,antonelli,7,150.0,0
2025,Alexander Albon,albon,8,73.0,0
2025,Carlos Sainz,sainz,9,64.0,0
2025,Fernando Alonso,alonso,10,56.0,0
2025,Nico Hülkenberg,hulkenberg,11,51.0,0
2025,Isack Hadjar,hadjar,12,51.0,0
2025,Oliver Bearman,bearman,13,41.0,0
2025,Liam Lawson,lawson,14,38.0,0
2025,Esteban Ocon,ocon,15,38.0,0
2025,Lance Stroll,stroll,16,33.0,0
2025,Yuki Tsunoda,tsunoda,17,33.0,0
2025,Pierre Gasly,gasly,18,22.0,0
2025,Gabriel Bortoleto,bortoleto,19,19.0,0
2025,Franco Colapinto,colapinto,20,0.0,0
2025,Jack Doohan,doohan,21,0.0,0
2026,Andrea Kimi Antonelli,antonelli,1,72.0,2
2026,George Russell,russell,2,63.0,1
2026,Charles Leclerc,leclerc,3,49.0,0
2026,Lewis Hamilton,hamilton,4,41.0,0
2026,Lando Norris,norris,5,25.0,0
2026,Oscar Piastri,piastri,6,21.0,0
2026,Oliver Bearman,bearman,7,17.0,0
2026,Pierre Gasly,gasly,8,15.0,0
2026,Max Verstappen,max_verstappen,9,12.0,0
2026,Liam Lawson,lawson,10,10.0,0
2026,Arvid Lindblad,arvid_lindblad,11,4.0,0
2026,Isack Hadjar,hadjar,12,4.0,0
2026,Gabriel Bortoleto,bortoleto,13,2.0,0
2026,Carlos Sainz,sainz,14,2.0,0
2026,Esteban Ocon,ocon,15,1.0,0
2026,Franco Colapinto,colapinto,16,1.0,0
2026,Nico Hülkenberg,hulkenberg,17,0.0,0
2026,Alexander Albon,albon,18,0.0,0
2026,Valtteri Bottas,bottas,19,0.0,0
2026,Sergio Pérez,perez,20,0.0,0
2026,Fernando Alonso,alonso,21,0.0,0
2026,Lance Stroll,stroll,22,0.0,0
